original_file,new_file,factor_type,appendix_no,table_no,comment
Без названия (14).xls,review_original_14_environment_pollution_thresholds.xls,OTHER_REVIEW,,,Проверить отдельно: похоже не на ДСМ-15 физические факторы
Без названия (15).xls,dsm_15_app_01_table_01_microclimate_work_zone_temperature_humidity_air_speed.xls,MICROCLIMATE,1,1,
Без названия (16).xls,dsm_15_app_01_table_02_microclimate_measurement_points_count.xls,MICROCLIMATE,1,2,
Без названия (17).xls,dsm_15_app_01_table_03_microclimate_thc_index_limits.xls,MICROCLIMATE,1,3,
Без названия (18).xls,dsm_15_app_01_table_04_microclimate_cooling_environment_exposure_duration.xls,MICROCLIMATE,1,4,
Без названия (19).xls,dsm_15_app_01_table_05_microclimate_open_area_climate_region_ia.xls,MICROCLIMATE,1,5,
Без названия (20).xls,dsm_15_app_01_table_06_microclimate_open_area_climate_region_ib.xls,MICROCLIMATE,1,6,
Без названия (21).xls,dsm_15_app_01_table_07_microclimate_cold_work_regime_region_ia.xls,MICROCLIMATE,1,7,
Без названия (22).xls,dsm_15_app_01_table_08_microclimate_cold_work_regime_region_ib.xls,MICROCLIMATE,1,8,
Без названия (23).xls,dsm_15_app_01_table_09_microclimate_cold_work_regime_region_ii.xls,MICROCLIMATE,1,9,
Без названия (24).xls,dsm_15_app_01_table_10_microclimate_cold_work_regime_region_iii.xls,MICROCLIMATE,1,10,
Без названия (25).xls,dsm_15_app_01_table_11_microclimate_cold_work_regime_unheated_rooms.xls,MICROCLIMATE,1,11,
Без названия (26).xls,dsm_15_app_01_table_12_microclimate_cold_work_regime_additional_conditions.xls,MICROCLIMATE,1,12,
Без названия (27).xls,dsm_15_app_01_table_13_microclimate_wind_temperature_work_regime.xls,MICROCLIMATE,1,13,
Без названия (28).xls,dsm_15_app_01_table_14_microclimate_residential_buildings_and_dormitories.xls,MICROCLIMATE,1,14,
Без названия (29).xls,dsm_15_app_01_table_15_microclimate_preschool_facilities.xls,MICROCLIMATE,1,15,
Без названия (30).xls,dsm_15_app_01_table_16_microclimate_public_and_administrative_buildings.xls,MICROCLIMATE,1,16,
Без названия (31).xls,dsm_15_app_01_table_17_microclimate_infrared_irradiation_duration.xls,MICROCLIMATE,1,17,
Без названия (32).xls,dsm_15_app_01_table_18_microclimate_radiant_heating_parameters.xls,MICROCLIMATE,1,18,
Без названия (33).xls,dsm_15_app_01_table_19_microclimate_contact_surface_temperature_materials.xls,MICROCLIMATE,1,19,
Без названия (34).xls,dsm_15_app_01_table_20_microclimate_contact_duration_surface_temperature.xls,MICROCLIMATE,1,20,
Без названия (35).xls,dsm_15_app_01_table_21_microclimate_underground_workings_combinations.xls,MICROCLIMATE,1,21,
Без названия (36).xls,dsm_15_app_01_table_22_microclimate_wind_chill_index.xls,MICROCLIMATE,1,22,
Без названия (37).xls,dsm_15_app_01_table_23_microclimate_frostbite_risk_safe_duration.xls,MICROCLIMATE,1,23,
Без названия (38).xls,dsm_15_app_02_table_01_noise_workplaces_sound_pressure_levels.xls,NOISE,2,1,
Без названия (39).xls,dsm_15_app_02_table_02_noise_rooms_territories_allowed_levels.xls,NOISE,2,2,
Без названия (40).xls,dsm_15_app_03_table_01_lighting_visual_work_object_size.xls,LIGHTING,3,1,
Без названия (41).xls,dsm_15_app_03_table_02_lighting_industrial_premises_keo_illuminance.xls,LIGHTING,3,2,
Без названия (42).xls,dsm_15_app_03_table_03_lighting_general_industrial_premises.xls,LIGHTING,3,3,
Без названия (43).xls,dsm_15_app_03_table_04_lighting_public_residential_auxiliary_buildings.xls,LIGHTING,3,4,
Без названия (44).xls,dsm_15_app_04_table_01_infrasound_allowed_levels.xls,INFRASOUND,4,1,
Без названия (45).xls,dsm_15_app_04_table_02_infrasound_medical_equipment_noise_levels.xls,INFRASOUND,4,2,
Без названия (46).xls,dsm_15_app_05_table_01_ultrasound_airborne_allowed_levels.xls,ULTRASOUND,5,1,
Без названия (47).xls,dsm_15_app_05_table_02_ultrasound_contact_allowed_levels.xls,ULTRASOUND,5,2,
Без названия (48).xls,dsm_15_app_06_table_01_uv_radiation_allowed_levels_without_ppe.xls,UV,6,1,
Без названия (49).xls,dsm_15_app_06_table_02_uv_radiation_allowed_levels_with_ppe.xls,UV,6,2,
Без названия (50).xls,dsm_15_app_07_table_01_aeroions_allowed_values.xls,AEROIONS,7,1,
Без названия (51).xls,dsm_15_app_08_table_01_emf_static_magnetic_field_allowed_levels.xls,ELECTROMAGNETIC_FIELD,8,1,
Без названия (52).xls,dsm_15_app_08_table_02_emf_sinusoidal_magnetic_fields_allowed_levels.xls,ELECTROMAGNETIC_FIELD,8,2,
Без названия (53).xls,dsm_15_app_08_table_03_emf_pulsed_magnetic_fields_50hz.xls,ELECTROMAGNETIC_FIELD,8,3,
Без названия (54).xls,dsm_15_app_08_table_04_emf_energy_exposure_workplaces.xls,ELECTROMAGNETIC_FIELD,8,4,
Без названия (55).xls,dsm_15_app_08_table_05_emf_max_allowed_levels_workplaces.xls,ELECTROMAGNETIC_FIELD,8,5,
Без названия (56).xls,dsm_15_app_08_table_06_emf_industrial_frequency_population.xls,ELECTROMAGNETIC_FIELD,8,6,
Без названия (57).xls,dsm_15_app_08_table_07_emf_30khz_300ghz_population.xls,ELECTROMAGNETIC_FIELD,8,7,
Без названия (58).xls,dsm_15_app_09_table_01_laser_radiation_spectral_interval.xls,LASER,9,1,
Без названия (59).xls,dsm_15_app_09_table_02_laser_radiation_exposure_duration_coefficients.xls,LASER,9,2,
